index,unit1_rgb,unit2_pos,unit1_beam_32,unit1_beam_64
1,../../../Scenario9/unit1/camera_data/image_BS2_2680_16_45_05.jpg,"[0.9681940499302971, 0.6851297406286216]",8,2
2,../../../Scenario9/unit1/camera_data/image_BS2_2681_16_45_05.jpg,"[0.9614292121348906, 0.6846307385204063]",2,2
3,../../../Scenario9/unit1/camera_data/image_BS2_2682_16_45_06.jpg,"[0.9547951861175641, 0.6856287425950119]",2,2
4,../../../Scenario9/unit1/camera_data/image_BS2_2683_16_45_06.jpg,"[0.9477126625697014, 0.6841317365540159]",2,2
5,../../../Scenario9/unit1/camera_data/image_BS2_2684_16_45_06.jpg,"[0.9404993272437588, 0.6826347305839324]",2,3
6,../../../Scenario9/unit1/camera_data/image_BS2_2685_16_45_06.jpg,"[0.9332112423360327, 0.6806387225765461]",2,3
7,../../../Scenario9/unit1/camera_data/image_BS2_2686_16_45_06.jpg,"[0.9258110330357139, 0.6786427144982473]",3,6
8,../../../Scenario9/unit1/camera_data/image_BS2_2687_16_45_06.jpg,"[0.9182986993560805, 0.6766467067035984]",4,6
9,../../../Scenario9/unit1/camera_data/image_BS2_2688_16_45_06.jpg,"[0.9106929286826201, 0.6741516966589092]",5,9
10,../../../Scenario9/unit1/camera_data/image_BS2_2689_16_45_06.jpg,"[0.9029750336298451, 0.6711576846478297]",6,10
11,../../../Scenario9/unit1/camera_data/image_BS2_2690_16_45_06.jpg,"[0.8951637015965211, 0.6686626746031405]",6,11
12,../../../Scenario9/unit1/camera_data/image_BS2_2691_16_45_07.jpg,"[0.8873523695631972, 0.6676646706703598]",7,13
13,../../../Scenario9/unit1/camera_data/image_BS2_2692_16_45_07.jpg,"[0.8791859769666079, 0.6676646706703598]",9,17
14,../../../Scenario9/unit1/camera_data/image_BS2_2693_16_45_07.jpg,"[0.8710569591808278, 0.6676646706703598]",9,17
15,../../../Scenario9/unit1/camera_data/image_BS2_2694_16_45_07.jpg,"[0.8629466287938131, 0.6676646706703598]",11,20
16,../../../Scenario9/unit1/camera_data/image_BS2_2695_16_45_07.jpg,"[0.8548736731910511, 0.6676646706703598]",11,22
17,../../../Scenario9/unit1/camera_data/image_BS2_2696_16_45_07.jpg,"[0.84683809238582, 0.6671656687039694]",12,23
18,../../../Scenario9/unit1/camera_data/image_BS2_2697_16_45_07.jpg,"[0.8388211989793543, 0.6661676647002763]",14,26
19,../../../Scenario9/unit1/camera_data/image_BS2_2698_16_45_07.jpg,"[0.8308229929716541, 0.6651696607674956]",15,29
